ID SUBGRUPO DE ITENS	ID ITEM	DESCRIÇÃO ITEM	UDM Preço	UDM estoque
arrozConcorrente	conc_462	ARROZ PARBOILIZADO CARRETEIRO 5KG	0	UNI
arrozConcorrente	conc_463	ARROZ BRANCO DONA MILU 1KG	0	UNI
feijaoConcorrente	conc_470	FEIJAO CARIOCA NOLAR 1KG	0	UNI
PA FEIJÃO	conc_061	FEIJAO CARIOCA NENE T1 1KG 100000000000000	un	uni
3	conc_020	ARROZ BRANCO CAMIL RESERVA T1 1KG 100000000000000	0	uni
3	conc_016	ARROZ BRANCO CAMIL T1 1KG 100000000000000	0	uni
PA ARROZ	conc_012	ARROZ BRANCO PRATO FINO T1 1KG	0	uni
PA ARROZ	conc_028	ARROZ BRANCO SOLITO PREMIUM T1 1KG 100000000000000	0	uni
PA ARROZ	conc_024	ARROZ BRANCO SOLITO T1 1KG 100000000000000	0	uni
PA ARROZ	conc_004	ARROZ BRANCO TIO JOAO T1 1KG 100000000000000	0	uni
arrozConcorrente	conc_008	ARROZ BRANCO ALBARUSKA T1 1KG	0	uni
arrozConcorrente	conc_006	ARROZ BRANCO ALBARUSKA T1 2KG	0	uni
3	conc_007	ARROZ BRANCO ALBARUSKA T1 1KG 100000000	0	uni
arrozConcorrente	conc_009	ARROZ BRANCO PRATO FINO T1 5KG	0	uni
arrozConcorrente	conc_010	ARROZ BRANCO PRATO FINO T1 2KG	0	uni
arrozConcorrente	conc_011	ARROZ BRANCO PRATO FINO T1 1KG	0	uni
arrozConcorrente	conc_003	ARROZ BRANCO TIO JOAO T1 1KG	0	uni
arrozConcorrente	conc_002	ARROZ BRANCO TIO JOAO T1 2KG	0	uni
arrozConcorrente	conc_001	ARROZ BRANCO TIO JOAO T1 5KG	0	uni
arrozConcorrente	conc_005	ARROZ BRANCO ALBARUSKA T1 5KG	0	uni
arrozConcorrente	conc_021	ARROZ BRANCO SOLITO T1 5KG	0	uni
arrozConcorrente	conc_019	ARROZ BRANCO CAMIL RESERVA T1 2KG	0	uni
arrozConcorrente	conc_029	ARROZ BRANCO BROTO LEGAL T1 5KG	0	uni
arrozConcorrente	conc_017	ARROZ BRANCO CAMIL RESERVA T1 5KG	0	uni
arrozConcorrente	conc_015	ARROZ BRANCO CAMIL T1 1KG	0	uni
arrozConcorrente	conc_014	ARROZ BRANCO CAMIL T1 2KG	0	uni
arrozConcorrente	conc_013	ARROZ BRANCO CAMIL T1 5KG	0	uni
arrozConcorrente	conc_026	ARROZ BRANCO SOLITO PREMIUM T1 1KG	0	uni
arrozConcorrente	conc_027	ARROZ BRANCO SOLITO PREMIUM T1 2KG	0	uni
arrozConcorrente	conc_025	ARROZ BRANCO SOLITO PREMIUM T1 5KG	0	uni
arrozConcorrente	conc_022	ARROZ BRANCO SOLITO T1 1KG	0	uni
arrozConcorrente	conc_023	ARROZ BRANCO SOLITO T1 2KG	0	uni
arrozConcorrente	conc_018	ARROZ BRANCO CAMIL RESERVA T1 1KG	0	uni
3	conc_030	ARROZ BRANCO BROTO LEGAL T1 1KG 100000000000000	0	uni
arrozConcorrente	conc_032	ARROZ BRANCO BROTO LEGAL T1 1KG	0	uni
arrozConcorrente	conc_031	ARROZ BRANCO BROTO LEGAL T1 2KG	0	uni
arrozConcorrente	conc_034	ARROZ BRANCO CIAGRO T1 1KG	0	uni
arrozConcorrente	conc_033	ARROZ BRANCO CIAGRO T1 5KG	0	uni
3	conc_036	ARROZ BRANCO CIAGRO T1 1KG 100000000000000	0	uni
arrozConcorrente	conc_035	ARROZ BRANCO CIAGRO T1 2KG	0	uni
PA ARROZ	conc_038	ARROZ BRANCO RAROZ T1 1KG 10000000000000000	0	uni
PA ARROZ	conc_041	ARROZ BRANCO RAROZ T1 1KG 22222222222222222222222222	0	uni
arrozConcorrente	conc_037	ARROZ BRANCO RAROZ T1 5KG	0	uni
arrozConcorrente	conc_040	ARROZ BRANCO RAROZ T1 2KG	0	uni
arrozConcorrente	conc_039	ARROZ BRANCO RAROZ T1 1KG	0	uni
arrozConcorrente	conc_043	ARROZ BRANCO MERCADO VELHO T1 1KG	0	uni
feijaoConcorrente	conc_056	FEIJAO CARIOCA BROTO LEGAL T1 1KG	0	uni
arrozConcorrente	conc_044	ARROZ BRANCO MERCADO VELHO T1 2KG	0	uni
arrozConcorrente	conc_042	ARROZ BRANCO MERCADO VELHO T1 5KG	0	uni
arrozConcorrente	conc_047	ARROZ BRANCO NAMORADO T1 1KG	0	uni
arrozConcorrente	conc_048	ARROZ BRANCO NAMORADO T1 2KG	0	uni
feijaoConcorrente	conc_055	FEIJAO CARIOCA KICALDO T1 1KG	0	uni
feijaoConcorrente	conc_051	FEIJAO CARIOCA TARUMA T1 1KG	0	uni
